Primary_Name,Primary_Location,Alt_primary_Names,Original_Name,Pleiades,Region ,Pliny?,X,Y,Z,Geog_certainty,Dependent_upon,Replaced,Replaced_By,Speed_of_Replace,Port_Name,Port_Cert,Attrib_People1,Attrib_People2,Attrib_People3,Prev_People,Prev_Occ ,Occ_Date_U,Occ_Date_L,Occ_Date_Cert,Multi_Location,Multi_Loc_Cert,ML_Date_U,ML_Date_L,ML_Date_Cert,Disp_Sett_U,Disp_Sett_L,Incompl_Urb,Intense_Urb_U ,Intense_Urb_L ,Aband_Date_U,Aband_Date_L,Necrop_Only,Permanent,Destroyed,Destr_Date_U,Destr_Date_L,Post_Urban,GF_Status,Boundary_Known,SA_O,SA_O_EP,SO_O_Cert,SA_O_AL,SA_O_AU,SA_N,SA_N_EP,SA_N_Cert,SA_N_AL,SA_N_AU,SA_Expansion,SA_Exp_Date_U,SA_Exp_Date_L,SA_Exp_Date_Cert,SA_Reduction,SA_Red_Date_U,SA_Red_Date_L,SA_Red_Date_Cert,Defensible_Top,Fort_Survival,Mult_Circuits ,Fort_O_Date_U,Fort_O_Date_L,Fort_O_Date_Cert,Fort_O_Alt_U,Fort_O_Alt_L,Fort_R1_Date_U,Fort_R1_Date_L,Fort_R1_Date_Cert,Fort_R1_Alt_U,Fort_R1_Alt_L,Fort_R2_Date_U,Fort_R2_Date_L,Fort_R2_Date_Cert,Fort_R2_Alt_U,Fort_R2_Alt_L,Fort_R3_Date_U,Fort_R3_Date_L,Fort_R3_Date_Cert,Fort_R3+,Regular_Plan,RP_Date_U,RP_Date_L,RP_Date_Cert,New_Plan,NP_Date_U,NP_Date_L,NP_Date_Cert,Forum_Agora,Assembly_Place,Temple,Theatre,Amphitheatre,Basilica,Bath,Roman_Subj_Date_U,Roman_Subj_Date_L,Col_Type,Colony_Date_U,Colony_Date_L,Legal_Status1,Leg_St1_Date_U,Leg_St1_Date_L,Legal_Status2,Leg_St2_Date_U,Leg_St2_Date_L,Legal_Status3,Leg_St3_Date_U,Leg_St3_Date_L,ROADS,
Colle dei Greci,Nr Latronico,,N,Y,3,N,16.04745,40.086875,924,certain,-,-,-,-,-,-,Lucanian ,-,-,-,AC,-350,-260,Medium,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,GF,unclear,4.5,P,Low,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,elevation,None,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,unknown,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-326,-272,-,-,-,-,-,-,-,-,-,-,-,-,FAR,
Colle della Battaglia,Castel del Monte,,N,N,4,N,13.7090083,42.3446417,1175,certain,-,-,-,-,-,-,Vestinian,-,-,-,-,-800,-275,Medium,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,GF,very clear,3.1,P,Medium,2.75,3.1,-,-,-,-,-,-,-,-,-,-,-,-,-,elevation,Sections visible,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,unknown,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-325,-290,-,-,-,-,-,-,-,-,-,-,-,-,FAR,
Colle delle Fate,Nr Roccacasale,,N,Y,4,N,13.900331,42.126496,724,certain,-,-,-,-,-,-,Paelignian ,-,-,-,B,-600,-200,Low,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,GF,partial,2.4,P,Medium,2.4,2.6,-,-,-,-,-,-,-,-,-,-,-,-,-,elevation,Sections visible,-,-600,-300,Medium,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,unknown,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-324,-303,-,-,-,-,-,-,-,-,-,-,-,-,FAR,
Colle delle Spugne,Castel di Ieri,,N,N,4,N,13.7577389,42.1235417,1046,certain,-,-,-,-,-,-,Paelignian ,-,-,-,B,-800,-100,Low,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,GF,partial,46,P,Low,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,elevation,Sections visible,concentric walls,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,unknown,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-324,-303,-,-,-,-,-,-,-,-,-,-,-,-,FAR,
Colle d'Onofrio,Chiauci,Monte Sant'Onofrio,N,Y,4,N,14.3545444,41.6672917,951,certain,-,-,-,-,-,-,SamPen,-,-,-,-,-343,-290,Low,-,-,-,-,-,-,-,-,-,-,-,-,-,Likely,-,-,-,-,GF,partial,4.9,E,Medium,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,elevation,Complete,-,-343,-290,Low,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,unknown,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-343,-290,-,-,-,-,-,-,-,-,-,-,-,-,FAR,
Colle Marena ,San Vittore del Lazio,"Colle Falascosa, Monte Sambucaro",N,N,1,N,13.9483944,41.4676528,702,certain,-,-,-,-,-,-,SamPen,-,-,-,-,-325,-275,Medium,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,GF,very clear,10,E,Low,10,70,-,-,-,-,-,-,-,-,-,-,-,-,-,elevation,Sections visible,-,-343,-290,Low,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,unknown,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-343,-290,-,-,-,-,-,-,-,-,-,-,-,-,FAR,
Colle Mitra,Sulmona,,N,N,4,N,13.9752222,42.002725,1094,certain,-,-,Sulmona,Unknown,-,-,Paelignian ,-,-,-,-,-600,999,Low,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,GF,partial,83,P,Low,64,87,-,-,-,-,-,-,-,-,-,-,-,-,-,elevation,Sections visible,-,-600,-300,Low,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,unknown,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-324,-303,-,-,-,-,-,-,-,-,-,-,-,-,FAR,
Colle Mori,Gualdo Tadino,"Colle I Mori, Col di Mori",N,N,6,N,12.7852028,43.2497917,743,certain,-,-,Tadinae,Sudden,-,-,Umbrian ,-,-,-,-,-550,-200,High,-,-,-,-,-,-,-,-,-,-,-,-,-,-,High,-225,-200,-,GF,interpreted,5,P,Unconfirmed,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,elevation,Confirmed,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,not planned,-,-,-,-,-,-,-,-,-,Temple undated,-,-,-,-,-308,-295,-,-,-,-,-,-,-,-,-,-,-,-,FAR,
Colle Rischia,Civitaretenga,,N,N,4,N,13.6612028,42.2254528,1245,certain,-,-,-,-,-,-,Vestinian,-,-,-,-,-800,100,Low,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,GF,partial,6.1,P,Low,4,6.3,-,-,-,-,-,-,-,-,-,-,-,-,-,elevation,Sections visible,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,unknown,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-325,-290,-,-,-,-,-,-,-,-,-,-,-,-,FAR,
Colle Rotondo,Colle Rotondo,,N,Y,1,N,12.60175,41.517025,60,certain,Antium,-,-,-,-,-,Volscian,-,-,-,I,-600,-200,Medium,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,NGF,partial,7.5,P,Medium,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,elevation,Confirmed,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,unknown,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-495,-303,-,-,-,-,-,-,-,-,-,-,-,-,FAR,
Colle Santa Lucia-Colle Maceralonga,San Giorgio a Liri,Castelnuovo Parano,N,N,1,N,13.746125,41.3916361,321,certain,-,-,-,-,-,-,Auruncan,-,-,-,-,-600,-200,Medium,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,GF,partial,7,P,Medium,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,elevation,Sections visible,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,unknown,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-345,-314,-,-,-,-,-,-,-,-,-,-,-,-,FAR,
Colle Sant'Angelo,Lecce dei Marsi,Buccilla,N,N,4,N,13.6690222,41.9354778,848,certain,-,-,-,-,Colle Sant'Angelo,possible,Marsic ,-,-,-,-,-9999,-50,Low,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,GF,interpreted,5.5,P,Unconfirmed,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,elevation,Sections visible,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,unknown,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-340,-302,-,-,-,-,-,-,-,-,-,-,-,-,NEAR,
Colle Separa,San Demetrio,,N,N,4,N,13.5719083,42.3026528,907,certain,-,-,-,-,-,-,Vestinian,-,-,-,-,-900,-300,Low,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,GF,partial,7.3,P,Medium,7,10.8,-,-,-,-,-,-,-,-,-,-,-,-,-,elevation,Sections visible,-,-900,-700,Low,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,unknown,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-325,-290,-,-,-,-,-,-,-,-,-,-,-,-,FAR,
Compsa,Conza della Campania ,,Y,Y,2,Y,15.330711,40.869305,575,certain,-,-,-,-,-,-,SamHirp,-,-,-,-,-900,500,Medium,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,PGF,unknown,12,E,Low,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,elevation,Suspected,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,unknown,-,-,-,-,-,-,-,Forum 1stc,-,Temple 1stc BC,-,Amphi Aug,-,Bath 1stc AD,-343,-290,-,-,-,M,-90,-89,-,-,-,-,-,-,ON,
Consentia ,Cosenza,,Y,Y,3,Y,16.2575167,39.28705,361,certain,-,-,-,-,-,-,Bruttian,-,-,-,-,-400,500,Low,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,NGF,unknown,10.2,P,Low,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,elevation,Confirmed,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,unknown,-,-,-,-,-,-,-,Forum suspected,-,-,-,-,-,-,-285,-272,-,-,-,MP,-272,14,-,-,-,-,-,-,ON,
Consilinum ,Civita di Padula,Cosilinum,Y,Y,3,N,15.6716861,40.3377917,858,certain,-,-,-,-,-,-,Lucanian ,-,-,-,-,-400,200,Low,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,GF,partial,42.3,P,Low,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,elevation,Sections visible,-,-350,-300,Medium,-,-,-82,-80,Medium,-,-,-,-,-,-,-,-,-,-,-,unknown,-,-,-,-,-,-,-,Forum suspected,-,-,Theatre undated,-,-,Bath undated,-326,-272,-,-,-,M,-272,14,-,-,-,-,-,-,NEAR,
Copia ,Sibari (Thurio),Thurii,Y,Y,3,Y,16.490517,39.715622,4,certain,-,-,-,-,Copia,Good evidence,Greek,-,-,-,-,-750,500,High,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,GF,partial,200,P,Low,-,-,50,P,Low,50,60,-,-,-,-,High,-194,-150,High,no,Sections visible,-,-194,-150,Unconfirmed,-,-,0,100,Unconfirmed,-,-,-,-,-,-,-,-,-,-,-,confirmed,-444,-400,High,-,-,-,-,Forum suspected,-,Temple 1stc BC,Theatre 1st c AD,-,Bas 1stc BC,Bath 1stc AD,-285,-272,LC,-194,-194,M,-90,-89,-,-,-,-,-,-,ON,
Copio,Baschi,,N,N,6,N,12.2367944,42.6597556,203,certain,-,-,-,-,Copio,possible,Etruscan,-,-,-,-,-625,-300,Medium,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,GF,unclear,16,P,Low,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,elevation,None,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,unknown,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-393,-280,-,-,-,-,-,-,-,-,-,-,-,-,FAR,
Cora,Cori,,Y,Y,1,Y,12.915671,41.64255,403,certain,-,-,-,-,-,-,Latin,-,-,-,-,-600,0,Low,-,-,-,-,-,-,-,Y,-,-,-,-,-,-,-,-,-,-,NGF,partial,20,P,Medium,20,22,-,-,-,-,-,-,-,-,-,-,-,-,-,elevation,Sections visible,-,-525,-475,Medium,-,-,-350,-300,Medium,-,-,-125,-50,Medium,-,-,-,-,-,-,not planned,-,-,-,-,-,-,-,Forum 4thc,-,Temple 4thc BC,-,-,-,-,-493,-338,PR,-493,-350,M,-90,-89,-,-,-,-,-,-,NEAR,
Corchiano,Corchiano,,N,Y,7,N,12.3626556,42.3484333,196,certain,-,-,-,-,-,-,Faliscan,-,-,-,-,-750,-240,High,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,PGF,interpreted,27,P,Low,10,30,-,-,-,-,-,-,-,-,-,-,-,-,-,elevation,Confirmed,-,-600,-500,Unconfirmed,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,suspected,-600,-500,High,-,-,-,-,-,-,-,-,-,-,-,-390,-295,-,-,-,-,-,-,-,-,-,-,-,-,NEAR,
Corcolle,Corcolle,,Y,Y,1,N,12.7643222,41.9098639,127,uncertain,-,-,-,-,-,-,Latin,Sabine,-,-,-,-400,-200,Medium,-,-,-,-,-,-,-,-,-,-,-,-,Yes,-,-,-,-,-,GF,unknown,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,unknown,None,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,unknown,-,-,-,-,-,-,-,Forum suspected,-,-,-,-,-,-,-493,-338,-,-,-,-,-,-,-,-,-,-,-,-,FAR,
Corfinium,Corfinio,,Y,Y,4,Y,13.842185,42.123814,350,certain,-,-,-,-,-,-,Paelignian ,-,-,-,-,-500,500,Medium,-,-,-,-,-,-500,-100,-,-,-,-,-,-,-,-,-,-,-,NGF,unclear,10,E,Low,10,14,-,-,-,-,-,-,-,-,-,-,-,-,-,part elevation,Suspected,-,-100,-50,Medium,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,unknown,-,-,-,-,-,-,-,Forum 1stc,AP 1stc BC,Temple 1stc BC,Theatre 1stc BC,Amphi 1stc BC,Bas undated,Bath 2ndc AD,-324,-303,-,-,-,M,-90,-89,-,-,-,-,-,-,ON,
Coriglia,Castel Viscardo ,,N,N,7,N,12.0216778,42.7752639,236,certain,-,-,-,-,-,-,Roman ,-,-,Etruscan,-,-250,500,High,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,GF,unknown,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,part elevation,None,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,unknown,-,-,-,-,-,-,-,-,-,-,-,-,-,Bath 1stc BC,-393,-280,-,-,-,-,-,-,-,-,-,-,-,-,NEAR,
Cortona,Cortona,,Y,Y,7,Y,11.985475,43.2750278,650,certain,-,-,-,-,-,-,Etruscan,-,-,Umbrian ,-,-625,500,Medium,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,NGF,partial,35.6,P,Low,30,35.6,-,-,-,-,-,-,-,-,-,-,-,-,-,elevation,Sections visible,-,-325,-300,Medium,-,-,-200,-150,High,-,-,-,-,-,-,-,-,-,-,-,unknown,-,-,-,-,-,-,-,Forum suspected,-,-,-,-,-,-,-358,-295,-,-,-,M,-90,-89,-,-,-,-,-,-,FAR,
Cosa ,Ansedonia,,Y,Y,7,Y,11.288333,42.412778,113,certain,-,-,-,-,Cosa,Good evidence,Roman ,-,-,Etruscan,-,-273,500,High,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,GF,very clear,13.5,P,High,-,-,-,-,-,-,-,-,-,-,-,High,-80,-20,High,elevation,Complete,-,-273,-250,High,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,confirmed,-273,-200,High,-,-,-,-,Forum 3rdc,AP 3rdc BC,Temple 2ndc BC,-,-,Bas 2ndc BC,Bath undated,-388,-280,LC,-273,-273,-,-,-,-,-,-,-,-,-,NEAR,
Cozzo Cerasello ,Pietrapaola,Cozzo,N,Y,3,N,16.7775806,39.4923917,649,certain,-,-,-,-,-,-,Bruttian,-,-,-,I,-500,-200,Medium,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,GF,partial,50,E,Low,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,elevation,Sections visible,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,unknown,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-285,-272,-,-,-,-,-,-,-,-,-,-,-,-,FAR,
Cozzo Presepe,Montescaglioso,,N,Y,3,N,16.7240556,40.472475,126,certain,-,-,-,-,-,-,Greek,-,-,-,IA,-350,-250,High,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,GF,partial,5.9,P,Low,5.9,7,-,-,-,-,-,-,-,-,-,-,-,-,-,elevation,Sections visible,-,-600,-500,High,-,-,-350,-275,High,-,-,-,-,-,-,-,-,-,-,-,unknown,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-285,-272,-,-,-,-,-,-,-,-,-,-,-,-,NEAR,
Croccia Cognato,Oliveto Lucano,Monte Croccia,N,Y,3,N,16.1475056,40.5435583,1152,certain,-,-,-,-,-,-,Lucanian ,-,-,-,BI,-600,-275,High,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,GF,partial,19.3,E,High,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,elevation,Sections visible,-,-700,-500,High,-,-,-360,-350,Unconfirmed,-,-,-,-,-,-,-,-,-,-,-,unknown,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-326,-272,-,-,-,-,-,-,-,-,-,-,-,-,FAR,
Croton ,Crotone,"Kroton, Crotona",Y,Y,3,Y,17.128852,39.081572,22,certain,-,Capo Colonna,-,Sudden,Croton,Good evidence,Greek,-,-,-,-,-725,500,Medium,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,NGF,unclear,618,P,Medium,618,650,27,E,Medium,-,-,-,-,-,-,High,-300,-150,Medium,part elevation,Confirmed,-,-525,-475,Medium,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,confirmed,-625,-575,Medium,Good evidence,-400,-300,High,Forum undated,AP undated,Temple 4thc BC,Theatre undated,-,-,-,-285,-272,-,-,-,HC,50,100,-,-,-,-,-,-,FAR,
Cubulteria ,"S. Maria di Covultere, nr. Alvignano","Kupelternum, Compulteria, Combulteria",Y,Y,1,Y,14.3389833,41.2633028,96,likely,-,La Rocca2,-,Unknown,-,-,Roman ,-,-,SamCau,-,-90,500,Low,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,PGF,unknown,10,P,Low,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,no,Suspected,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,unknown,-,-,-,-,-,-,-,Forum suspected,-,-,-,-,Bas undated,-,-343,-290,-,-,-,M,-90,-89,-,-,-,-,-,-,FAR,
Cumae ,Cumae,Kyme,Y,Y,1,Y,14.0587656,40.8470763,57,certain,-,-,-,-,Cumae,Good evidence,Samnite,-,-,Greek,-,-730,500,High,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,PGF,partial,80,P,Low,72.5,110,-,-,-,-,-,-,-,-,-,-,-,-,-,part elevation,Sections visible,concentric walls,-700,-600,Medium,-,-,-425,-400,High,-,-,-400,-300,Unconfirmed,-,-,-300,-250,Unconfirmed,Y,confirmed,-334,-300,High,-,-,-,-,Forum undated,-,Temple 6thc BC,Theatre Susp,Amphi 2ndc BC,-,Bath 2ndc BC,-343,-338,-,-,-,CSS,-334,-334,-,-,-,-,-,-,ON,
Cupola,Cupola-Beccarini,,N,Y,2,N,15.8094861,41.5402556,1,certain,-,-,Sipontum,Sudden,Cupola,possible,Daunian,-,-,-,-,-1000,-200,High,-,-,-,-,-,-1000,-200,-,-,-,-,-,-,-,-,-,-,-,GF,unknown,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,partial water,None,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,unknown,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-326,-272,-,-,-,-,-,-,-,-,-,-,-,-,ON,
Cupra Maritima ,Cupra Marittima,,Y,Y,5,Y,13.8541278,43.0342194,99,certain,-,-,-,-,Cupra Maritima,Good evidence,Roman ,-,-,Picentine ,H,-49,500,High,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,PGF,partial,6,P,Low,4.5,8,10,P,Low,-,-,Low,14,100,Unconfirmed,-,-,-,-,part elevation,Confirmed,-,-27,14,Unconfirmed,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,suspected,-,-,-,-,-,-,-,Forum undated,-,Temple undated,-,Amphi Susp,Bas Susp,-,-293,-268,-,-,-,M,-49,-49,-,-,-,-,-,-,ON,
Cupra Montana ,Cupramontana,,Y,Y,5,Y,13.1225083,43.4506639,470,certain,-,-,-,-,-,-,Picentine ,-,-,-,-,-550,500,Medium,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,PGF,unclear,22.5,P,Low,15,22.5,-,-,-,-,-,-,-,-,-,-,-,-,-,elevation,None,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,unknown,-,-,-,-,-,-,-,Forum suspected,-,-,-,Amphi Susp,-,Bath undated,-299,-268,-,-,-,M,-49,-49,-,-,-,-,-,-,FAR,
Cures,Corese Terra,Cures Sabini,Y,Y,4,Y,12.6794528,42.1837111,120,certain,-,-,-,-,-,-,Sabine,-,-,-,I,-700,0,Medium,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,GF,interpreted,30,P,Low,-,-,6,P,Unconfirmed,-,-,-,-,-,-,High,-200,-100,High,elevation,None,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,not planned,-,-,-,-,-,-,-,Forum suspected,-,Temple undated,Theatre Susp,Amphi Susp,-,Bath Susp,-500,-290,-,-,-,CSS,-290,-290,-,-,-,-,-,-,ON,
Curino,Alfedena,,N,N,4,N,14.0281583,41.7403278,1013,certain,-,-,-,-,-,-,SamPen,-,-,-,-,-600,0,High,-,-,-,-,-,-,-,-,-,-,-,-,-,-,High,-215,-203,-,GF,partial,13.4,P,Medium,11.2,13.4,-,-,-,-,-,-,-,-,-,-,-,-,-,elevation,Sections visible,concentric walls,-343,-290,Low,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,unknown,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-343,-290,-,-,-,HV,-290,999,-,-,-,-,-,-,ON,
Dertona,Tortona,,Y,Y,9,Y,8.865452,44.897171,126,certain,-,-,-,-,-,-,Roman ,-,-,Ligurian,ACH,-150,500,High,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,NGF,interpreted,29,E,Low,-,-,-,-,-,-,-,Low,-27,14,High,-,-,-,-,no,Sections visible,-,-150,-100,High,-,-,-27,14,Medium,-,-,-,-,-,-,-,-,-,-,-,confirmed,-125,-100,Unconfirmed,-,-,-,-,Forum suspected,-,-,-,-,-,-,-238,-155,-,-,-,C,-122,-118,C,-27,14,-,-,-,ON,
Difesa San Biagio,Montescaglioso,,N,Y,2,N,16.6785333,40.5075278,180,certain,-,-,-,-,-,-,Iapygian,Unknown,-,-,-,-325,-75,High,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,GF,unclear,17,P,Low,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,elevation,Confirmed,-,-325,-300,Unconfirmed,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,confirmed,-325,-300,High,-,-,-,-,-,-,-,-,-,-,-,-326,-272,-,-,-,-,-,-,-,-,-,-,-,-,NEAR,
Diria,Monopoli,,Y,Y,2,Y,17.3050944,40.9524083,13,certain,-,-,-,-,Diria,suspected,Messapian ,-,-,-,-,-600,-300,High,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,NGF,unclear,7.3,E,Low,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,partial water,Confirmed,-,-450,-350,Unconfirmed,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,unknown,-,-,-,-,-,-,-,Forum suspected,-,-,-,-,-,-,-290,-266,-,-,-,MP,-266,14,-,-,-,-,-,-,NEAR,
Doganella,Doganella,,N,Y,7,N,11.2601333,42.5417333,27,certain,-,-,-,-,-,-,Etruscan,-,-,-,-,-620,-280,High,-,-,-,-,-,-,-,Y,-,-,-,-,-,-,High,-280,-280,-,GF,partial,230,P,Medium,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,no,Confirmed,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,confirmed,-575,-525,Medium,-,-,-,-,-,-,-,-,-,-,-,-388,-280,-,-,-,-,-,-,-,-,-,-,-,-,FAR,
Duronia ,Duronia,La Civita,N,Y,4,N,14.4569139,41.6545667,925,certain,-,-,-,-,-,-,SamPen,-,-,-,-,-350,-250,Medium,-,-,-,-,-,-,-,-,-,-,-,-,-,Likely,-,-,-,-,GF,partial,7.6,E,Medium,7,7.6,-,-,-,-,-,-,-,-,-,-,-,-,-,elevation,Sections visible,-,-343,-290,Low,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,unknown,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-343,-290,-,-,-,-,-,-,-,-,-,-,-,-,FAR,
Eburum,Eboli,,Y,Y,3,Y,15.058472,40.619725,140,certain,-,-,-,-,-,-,Lucanian ,-,-,-,B,-900,410,Medium,Replacement,Low,-250,-150,Medium,-,-,-,-,-,-,-,-,-,-,-,-,-,PGF,unclear,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,elevation,Sections visible,-,-350,-300,Unconfirmed,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,unknown,-,-,-,-,-,-,-,Forum suspected,-,-,-,-,-,-,-326,-272,-,-,-,M,-200,-100,-,-,-,-,-,-,ON,
Egnatia ,Egnazia,Gnathia,Y,Y,2,Y,17.391887,40.888326,5,certain,-,-,-,-,Egnatia,Good evidence,Messapian ,-,-,-,B,-800,500,High,-,-,-,-,-,-,-,-,-,-,-200,-100,-,-,-,-,-,-,GF,very clear,42,P,High,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,partial water,Sections visible,-,-400,-300,High,-,-,-300,-250,Medium,-,-,-,-,-,-,-,-,-,-,-,not planned,-,-,-,-,-,-,-,Forum undated,-,Temple 3rdc BC,Theatre 3rdc AD,-,Bas Aug,Bath Aug,-290,-266,-,-,-,M,-90,-89,-,-,-,-,-,-,ON,
